"SampleName","treatment","con_pg_ml","Sex","Cohort","Group","Puberty"
"NMX19H","Control",20.1510346,"F",2,"Orange",36
"NMX09H","Control",23.83396774,"F",1,"Orange",36.6666666666667
"NMX16G","Control",26.60198665,"F",2,"Orange",36
"NMX28G","Control",34.15673008,"F",2,"Orange",36
"NMX02F","Control",39.46466273,"F",1,"Orange",36.6666666666667
"NMX09G","Control",42.39396311,"F",1,"Orange",36.6666666666667
"NMX06F","Control",42.71339335,"F",1,"Orange",36.6666666666667
"NMX30G","Control",48.07512936,"F",2,"Orange",35
"NMX13N","Control",53.51297577,"F",2,"Orange",37
"NMX08F","Control",59.07168547,"F",1,"Orange",36.6666666666667
"NMX22F","Control",66.67590495,"F",2,"Orange",40
"NMX29F","NMX",26.234408,"F",2,"Blue",34
"NMX07G","NMX",36.96183653,"F",1,"Blue",37.2222222222222
"NMX01F","NMX",40.22196947,"F",1,"Blue",37.2222222222222
"NMX21F","NMX",40.6483665,"F",2,"Blue",39
"NMX12F","NMX",42.31405134,"F",2,"Blue",35
"NMX17G","NMX",44.68574902,"F",2,"Blue",41
"NMX03F","NMX",47.46474993,"F",1,"Blue",37.2222222222222
"NMX27G","NMX",49.29727654,"F",2,"Blue",38
"NMX25G","NMX",53.31109217,"F",2,"Blue",39
"NMX10G","NMX",63.20552414,"F",1,"Blue",37
"NMX24F","NMX",73.35051301,"F",2,"Blue",36
"NMX15F","NMX",74.60623632,"F",2,"Blue",36
"NMX02A",NA,NA,"M",1,"Orange",43.5
"NMX06A",NA,NA,"M",1,"Orange",43.5
"NMX08A",NA,NA,"M",1,"Orange",43.5
"NMX09A",NA,NA,"M",1,"Orange",43.5
"NMX13A",NA,NA,"M",2,"Orange",42
"NMX16B",NA,NA,"M",2,"Orange",44
"NMX18D",NA,NA,"M",2,"Orange",42
"NMX19C",NA,NA,"M",2,"Orange",42
"NMX22A",NA,NA,"M",2,"Orange",45
"NMX23B",NA,NA,"M",2,"Orange",46
"NMX28B",NA,NA,"M",2,"Orange",43
"NMX30A",NA,NA,"M",2,"Orange",44
"NMX01A",NA,NA,"M",1,"Blue",44.8888888888889
"NMX03B",NA,NA,"M",1,"Blue",44.8888888888889
"NMX07B",NA,NA,"M",1,"Blue",44.8888888888889
"NMX10A",NA,NA,"M",1,"Blue",44
"NMX12B",NA,NA,"M",2,"Blue",48
"NMX14B",NA,NA,"M",2,"Blue",49
"NMX17B",NA,NA,"M",2,"Blue",42
"NMX21C",NA,NA,"M",2,"Blue",45
"NMX24C",NA,NA,"M",2,"Blue",43
"NMX25C",NA,NA,"M",2,"Blue",45
"NMX27B",NA,NA,"M",2,"Blue",44
"NMX29A",NA,NA,"M",2,"Blue",44
