"SampleName","treatment","con_ng_ml","sd_con","Sex","Cohort","Group"
"NMX02A","Control",0.598979553617619,1.23760336505114,"M",1,"Orange"
"NMX25C","NMX",2.08902191381781,1.23760336505114,"M",2,"Blue"
"NMX29A","NMX",1.95108674616819,1.23760336505114,"M",2,"Blue"
"NMX22A","Control",0.303513244149832,1.23760336505114,"M",2,"Orange"
"NMX03B","NMX",1.36719770241425,1.23760336505114,"M",1,"Blue"
"NMX27B","NMX",0.465517756054192,1.23760336505114,"M",2,"Blue"
"NMX18D","Control",0.806350237844697,1.23760336505114,"M",2,"Orange"
"NMX28B","Control",0.216989373309797,1.23760336505114,"M",2,"Orange"
"NMX01A","NMX",0.640144785980779,1.23760336505114,"M",1,"Blue"
"NMX09A","Control",0.492684428714344,1.23760336505114,"M",1,"Orange"
"NMX21C","NMX",0.891724903355758,1.23760336505114,"M",2,"Blue"
"NMX19C","Control",1.08514197767628,1.23760336505114,"M",2,"Orange"
"NMX07B","NMX",0.798847309704127,1.23760336505114,"M",1,"Blue"
"NMX06A","Control",0.303840724008456,1.23760336505114,"M",1,"Orange"
"NMX24C","NMX",1.16225615811193,1.23760336505114,"M",2,"Blue"
"NMX13A","Control",2.00308612428628,1.23760336505114,"M",2,"Orange"
"NMX10A","NMX",2.05019513598969,1.23760336505114,"M",1,"Blue"
"NMX17B","NMX",0.275418643815825,1.23760336505114,"M",2,"Blue"
"NMX30A","Control",0.700929311584825,1.23760336505114,"M",2,"Orange"
"NMX16B","Control",0.447389076993157,1.23760336505114,"M",2,"Orange"
"NMX12B","NMX",2.07311945399141,1.23760336505114,"M",2,"Blue"
"NMX14B","NMX",3.41803823625151,1.23760336505114,"M",2,"Blue"
